transaction_id,transaction_date
81575,05-23-2023 08:17:47
99853,06-12-2023 11:09:20
110181,06-23-2023 19:48:50
38777,03-24-2023 07:34:20
2858,01-07-2023 08:18:26
106294,06-19-2023 12:32:49
31667,03-10-2023 10:59:15
48595,04-09-2023 09:30:01
80954,05-22-2023 11:47:55
30312,03-08-2023 08:09:53
74888,05-15-2023 08:47:47
80597,05-22-2023 07:54:05
115955,06-29-2023 19:42:25
25473,02-27-2023 08:09:35
107660,06-21-2023 09:10:02
111924,06-25-2023 15:15:23
8698,01-20-2023 13:35:01
97565,06-10-2023 06:36:55
7012,01-16-2023 12:23:31
16489,02-07-2023 08:57:59
114926,06-28-2023 16:37:03
94446,06-06-2023 15:12:10
93978,06-06-2023 08:11:41
93575,06-05-2023 15:04:15
66054,05-04-2023 15:08:00
88011,05-30-2023 11:22:10
112068,06-25-2023 17:26:34
10771,01-25-2023 09:11:35
14639,02-03-2023 11:41:57
61121,04-28-2023 08:52:19
52756,04-15-2023 16:41:25
109828,06-23-2023 13:30:05
95327,06-07-2023 12:05:19
114178,06-27-2023 19:22:47
115805,06-29-2023 17:08:22
12234,01-28-2023 11:37:30
21365,02-18-2023 08:42:59
70034,05-09-2023 09:06:53
1684,01-04-2023 14:38:16
106043,06-19-2023 09:46:39
74437,05-14-2023 13:20:27
90964,06-02-2023 18:51:54
82365,05-24-2023 07:22:44
105795,06-19-2023 07:50:37
93891,06-05-2023 19:20:11
34425,03-15-2023 18:38:00
99799,06-12-2023 10:41:05
65443,05-03-2023 18:41:08
59247,04-25-2023 13:35:13
53439,04-16-2023 15:07:42
76248,05-16-2023 15:34:53
73390,05-13-2023 09:41:36
31904,03-11-2023 06:04:41
52422,04-15-2023 09:15:53
48351,04-08-2023 19:43:55
45800,04-05-2023 08:50:10
42606,03-31-2023 08:22:16
88781,05-31-2023 11:22:37
79093,05-20-2023 08:46:28
67625,05-06-2023 13:21:39
113346,06-27-2023 08:37:20
77069,05-17-2023 16:49:27
85882,05-27-2023 18:19:50
75402,05-15-2023 16:56:00
61874,04-29-2023 12:12:27
112640,06-26-2023 10:37:11
34745,03-16-2023 10:36:37
26951,03-01-2023 19:52:28
83277,05-25-2023 07:07:34
82027,05-23-2023 14:42:14
98470,06-11-2023 06:45:24
39535,03-25-2023 10:17:59
77402,05-18-2023 08:56:36
12005,01-27-2023 16:56:15
113376,06-27-2023 08:52:08
93981,06-06-2023 08:13:41
39277,03-24-2023 19:15:29
28982,03-05-2023 14:40:13
85670,05-27-2023 14:38:01
110552,06-24-2023 10:08:06
32097,03-11-2023 09:26:02
77104,05-17-2023 17:44:40
13409,01-31-2023 10:44:55
39160,03-24-2023 15:31:08
35802,03-18-2023 10:25:07
111844,06-25-2023 13:47:54
12230,01-28-2023 11:29:08
107884,06-21-2023 10:35:51
45845,04-05-2023 10:00:53
83238,05-25-2023 06:31:03
115552,06-29-2023 13:38:16
