transaction_id,store_id
24221,5
75355,5
116722,3
66012,8
27397,5
32619,5
29968,5
77895,5
56151,3
94443,5
27830,5
111926,3
105894,3
41111,8
25344,8
27871,3
8594,8
75767,5
112438,8
109570,3
78985,3
114312,3
83505,5
51136,8
11325,8
78280,8
42879,8
21927,5
39916,8
57248,5
90291,8
95958,5
31168,8
25683,8
9182,5
1775,3
98203,8
47499,3
20400,3
18431,3
95944,8
107735,8
3990,5
98590,5
27462,8
74997,3
20015,3
21552,8
112134,3
30366,3
7291,5
34278,5
106875,3
78169,3
7215,3
86517,3
105837,8
26318,3
32006,5
100596,3
51903,3
70743,8
15308,3
49766,5
75141,5
847,5
67770,3
93553,8
78948,5
57029,5
42710,8
43799,5
104404,5
30279,5
63924,8
63476,5
66034,8
57983,3
72544,5
89897,8
9709,8
87482,5
43306,5
36007,3
52273,5
49553,8
46675,5
95978,8
92722,8
111986,3
94248,3
48917,8
66630,8
20636,8
10089,5
51398,5
4457,5
36214,3
82490,8
55379,3
71810,5
1952,5
85607,3
76648,5
26185,5
77254,3
37820,5
107625,5
37764,3
1592,3
28982,3
92095,5
65761,8
106271,5
66613,8
116723,3
30467,5
99391,8
1616,5
51504,8
79680,8
2016,8
53571,3
28482,5
67495,5
102550,8
42611,3
73546,8
59395,5
90026,3
70766,5
30481,3
44440,5
1274,3
23585,5
482,3
73288,8
68045,8
32233,8
28561,5
63006,8
106810,3
38172,5
15370,5
98400,8
29037,3
98825,5
63217,3
87257,5
99792,8
58861,5
52142,8
113632,5
54427,5
107032,5
27411,3
87950,3
114227,3
101037,5
24364,8
46970,5
115385,8
99208,8
76544,3
44601,5
95928,5
49652,8
56486,5
75770,3
22837,8
24565,3
90818,5
74544,3
99976,8
9728,5
96000,5
106138,5
27639,3
102976,3
24119,5
5608,8
105056,8
95707,8
18119,8
15478,3
38888,3
114551,3
62133,5
80662,8
87785,3
56894,3
30988,5
1696,3
107617,3
93880,3
72505,3
18821,8
19667,5
21746,3
104292,3
89636,3
61102,8
58303,5
107584,5
89983,3
30414,8
9564,3
37622,5
13371,3
75014,8
80760,5
85543,3
92089,8
7009,3
15054,8
3092,5
95784,3
